property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,קרית שלום,אסירי ציון 5,4,6,105,0,,12,450,320,9,"דירת 4 חדרים (כולל מ''מ""ד) בעלת שלושה כיווני אוויר, עם מרפסת שמש הפונה לנוף פתוח ושקט. שתי חניות תת קרקעיות, שתי מעליות (האחת מעלית שבת). משופצת ברמה גבוהה, יחידת הורים הכוללת מקלחת ושירותים. שירותים נוספים פלוס אמבטיה מופרדים. דוד שמש!!! דלתות פנדור אטומות לרעש. סורגים בכל החדרים. חדר דיירים גדול לרווחת דיירי הבניין. בקרבה לגני ילדים, בתי ספר, קאנטרי ומרכז מסחרי. במרחק הליכה מהים,",1,0,1,1,1,1,1,1,1,1,8300,10,4.71
דירה,קרית שלום,משגב עם 12,4,6,94,0,,12,390,280,7,"דירת 4 חדרים קומה 6 
עם מעלית ממד וחניה
בשכונה שקטה ונעימה 2 שירותים מקלחת ואמבטיה מרווחת , מודרנית , תריסים חשמליים , 
בבניין שעבר תמ""א 
כניסה באוגוסט",1,0,1,1,0,0,1,1,1,1,7250,4,9.58
דירת גן,קרית שלום,היהודי זיס  12,6,0,140,60,0,12,500,,1,"דירת גן חדשה בלב תל אביב (רח. היהודי זיס)
 7דקות מהים. בקוטג' דו-קומתי קומת קרקע, מעוצבת, 
בת שישה חדרים מרווחים ממוזגים (מזגנים חדשים) ממ""ד גדול, 
ארונות קיר מתקן טליה, קרש גיהוץ מתקפל לארון קיר, טריקה שקטה, 
3 חדרי אמבטיה ושירותים,  ג'קוזי!
חצר גדולה מסביב  לבית, חניה בשפע צמוד לבית, נוף פסטורלי, 
ארנונה 500 שח. ועד הבית לא קיים 
כניסה נפרדת פרטית, מטבח גדול מאובזר דתי. כניסה מיידית. 
ללא תיווך
לפרטים 0524474556 שמואל",1,1,0,1,1,0,1,1,1,1,1,34,9.37
דירה,קרית שלום,משגב עם 12,4,1,80,8,,12,650,150,7,"ברחוב ללא מוצא עם חניה בשפע
רחוב משגב עם 12
בניין שקט לאחר תמ""א
דירת 4 חדרים בקומה 1 עם מעלית
80 מטר ועוד 8 מטר מרפסת
דירה משופצת ושמורה
בקרבה למרכז מסחרי, בנק הדואר, מכולות, בתי כנסת, תי ספר וגני ילדים, פארק וגני משחקים
יציאה מהירה לנתיבי איילון וכביש 44",0,0,1,1,1,0,1,1,0,1,6500,10,6.61
דירת גן,קרית שלום,,5,1,336,0,,12,0,,8,"מוצעת להשכרה בפרויקט חדש בדרום ת""א דירת גן דופלקס מפנקת 
* 150 מ""ר 
* קומה 1 83 מ""ר
* קומה 2 67 מ""ר
* גינה 186 מ""ר
* 5 חד'
* חניה
* במיקום מעולה
* כניסה בעוד חודשיים
* דמי שכירות: 12,000ש""ח
* דמי קניה: 4,800,000ש""ח",1,1,1,1,1,1,1,1,1,1,11999,15,
דירה,קרית שלום,הקשת 8,5.5,2,100,0,0,12,900,90,3,"קרית שלום תל אביב
דירה של 5.5 חדרים,כ - 100 מטר, משופצת חדשה, 4 כוון אויר
מטבח פתוח לסלון,פלוס פינת אוכל.
חדרים שינה עם מזגנים
אמבטיה ושורתים ביחיד
יח הורים 
מיקום מעולה קומה 1  ללא מעלית.
הלכיה לקאנטרי,ולגינה
כניסה מידית.",0,0,0,1,0,0,0,0,0,1,9900,1,6.4
דירה,קרית שלום,הקשת 5,3,2,90,0,0,12,700,90,2,"קרית שלום תל אביב
דירה של  3 חדרים,כ -90 מטר,משופצת חדשה, 3 כוון אויר.
מטבח פתוח לסלון,פלוס פינת אוכל.
חדרים שינה עם מזגנים
מקלחת ושורתים ביחיד
יח הורים
יציאה מהסלון למרפסת שמש.
מיקום מעולה קומה 2 ללא מעלית.
הלכיה לקאנטרי,ולגינה
כניסה מידית.",0,0,0,1,0,0,0,1,0,1,8250,3,6.36
דירה,קרית שלום,זולצר 6,2.5,2,60,0,0,12,400,300,4,"שכונה: קרית שלום

דירה של  2.5 חדרים,כ - 60 מטר, דירה בקומה עליונה משופצת ברמה טובה עם מרפסת.

אין תשלום ועד בית

אפשרי לזוג או זוג עם ילד.

כניסה מידית.",0,0,0,1,0,1,0,0,0,1,5200,5,6.48
דירה,קרית שלום,שלמה שילר 4,2,0,75,0,0,12,400,200,3,"רחוב: שלמה שילר
שכונה:בקרית שלום
דירה גן, כ - 75  מטר מסודרת מוארת מקסימה איוכתית ויפה.
דירת קרקע עם חצר מרוצפת בחלק
המערבי של השכונה
הסלון ענק
עם חצר מרוצפת.
אין תשלום ועד בית
אפשר בעלי חיים
כניסה מידית.",0,0,0,1,0,1,0,0,0,1,5700,7,6.54
דירה,קרית שלום,קמינסקה 26,4,6,80,0,0,12,850,470,7,"ברחוב קמינסקה השקט בבניין יוקרתי בשכונת קריית שלום,
דירת 4 חדרים חדשה להשכרה, עם מרפסת שמש ונוף עוצר נשימה

חניה רובוטית פרטית, 2 חדרי רחצה
מעוצבת, יפיפיה ועם אנרגיות מדהימות
במרחק הליכה לתחנת רכבת חולון
תחבורה ציבורית
סופרמרקט יוחננוף ממש ליד
7,000 ש''ח
מושלמת לזוג, זוג+ילד או ליחיד
כ-80 מ''ר בנוי
קומה 6 עם מעלית
ממ""ד גדול
מטבח גדול ונוח לאוהבים לבשל
פינת אוכל
יחידת הורים קסומה
מיזוג מרכזי
רשתות על כל החלונות
הדירה מרוהטת חלקית ומאובזרת (מקרר יוקרתי, מדיח, תנור מובנה וכיריים גז, ארון גדול וריהוט מרפסת).
יש גם ריהוט שניתן לקנות ולהשאיר בדירה (לא חובה!)
חברת ניהול שמטפלת בכל בעיה
ערבויות: 3 חודשים וערב
ארנונה: 850 ש''ח לחודשיים
וועד: 470 ש''ח לחודש
לתווך ארוך!
כניסה מיידית!
אפשר לקבל סירטון בפרטי או בוואטסאפ.
לקביעת פגישה צלצלו או צרו קשר בוואטסאפ:
wa.me/050-9719933
050-9719933
דריה, יועצת נדל''ן
תיווך טורמלין נכסים",1,0,1,1,1,0,1,1,1,1,7000,17,6.59
גג/פנטהאוז,קרית שלום,קמינסקה 4,4,5,110,60,0,12,1000,120,6,"שכונה: קרית שלום.
פנטהאוז 4 חד, 110 מטר+60 מרפסת , 3 כיווני אוויר.
חדש מהקבלן
מטבח מאובזר כולל כריים מקרר מדיח ותנור.
חניה פרטית,ומעלית.
כניסה מידית.",1,0,1,1,0,0,0,1,0,1,10200,2,9.41
דירה,קרית שלום,לבנדובסקי  4,2.5,0,50,0,0,12,500,120,3,"רחוב: לבנדובסקי 

שכונה :קרית שלום 

דירה של  2.5  חדרים כ - 50  מטר, מסודרת מוארת מקסימה איוכתית.

סלון עם מטבח,פלוס פינת אוכל

חדר שינה עם מזגן

מוארת. 

יציאה לחצר גדולה מסודרת.

כולל עירית תל אביב.

כניסה מידית.",0,0,0,1,0,1,0,0,0,1,5000,5,6.41
דירה,קרית שלום,אנסקי  4,2,0,55,0,0,12,250,100,3,"רחוב: אנסקי 
שכונה: קרית שלום 
דירה עם יציאה לחצר גדולה, 2 חדרים,כ - 55 מטר,משופצת חדשה מקסימה ואיוכתית.
מטבח עם פינת אוכל.
חדר שינה עם מזגן
חצי חדר עם מזגן.
מיקום מעולה בשכונה.
כניסה מידית.",0,0,0,1,0,1,0,1,0,1,6200,3,6.5
דירה,קרית שלום,רינגלבלום  8,3,0,65,0,0,12,600,100,2,"רחוב:רינגלבלום 
שכונה: קרית שלום
דירה של  3  חדרים,כ - 65 מטר,משופצת חדשה מקסימה איוכתית ויפה.
יציאה למרפסת שמקיפה את הבית.
הכל חדש,שיפוץ כללי.
סלון עם מטבח פתוח.פינת אוכל.
חדרי שינה עם מזגנים
מקלחת ושרותים,ביחיד.
מיקום מעולה בשכונה.
כניסה מידית.",0,0,0,1,0,1,0,1,0,1,6400,9,6.52
דירת גן,קרית שלום,רינגלבלום 3,3,0,65,0,0,12,400,50,2,"שכונה: קרית שלום

דירה של  3  חדרים,כ - 65 מטר,משופצת חדשה מקסימה איוכתית ויפה.

יציאה למרפסת שמקיפה את הבית.

הכל חדש,שיפוץ כללי.

סלון עם מטבח פתוח.פינת אוכל.

חדרי שינה עם מזגנים

מקלחת ושרותים,ביחיד.

מיקום מעולה בשכונה.

כניסה מידית.",0,0,0,1,0,1,0,1,0,1,6400,7,6.37
דירה,קרית שלום,מאירבר 4,2.5,2,65,0,0,12,400,100,3,"שכונת: קרית שלום

דירה של 2.5 חדרים,כ - 65 מטר מסודרת מוארת מקסימה.

עברה שיפוץ 

מטבח נטו,עם פינת אוכל.

חדרי שינה עם מזגנים.

מסודרת ומקסימה.

חצי חדר עם דלת,ומזגן.

בניין מטופח ויפה.

כניסה מידית.",0,0,0,1,0,1,0,1,0,1,4600,6,6.28
דירה,קרית שלום,זולצר 6,3,2,120,0,0,12,500,120,4,"רחוב: השילוח
שכונה: שכונת שפירא
דירה של  3  חדרים,כ - 120 מטר,משופצת מקסימה 
מטבח פתוח.
שרותים כפולים.
חדרים שינה עם מזגנים.
מוארת מקסימה ואיוכתית.
כניסה מידית.",0,0,0,1,0,0,0,0,0,1,8000,4,6.48
דירה,קרית שלום,שילר 5,4,0,100,0,0,12,700,150,3,"שכונה: קרית שלום 

דירה של  4  חדרים,כ - 100 מטר סלון עם מטבח פתוח פלוס פינת אוכל.

חדרי שינה עם מזגנים

שרותים ומקלחת ביחיד.

מוארת

מיקום מעולה בשכונה.

יציאה למרפסת שמש.

מתאימה למשפחה \ שותפים. 

כניסה מידית.",0,0,0,1,0,1,0,1,0,1,6500,10,6.29
דירה,קרית שלום,גיתית 8,3,0,75,0,0,12,500,120,5,"שכונת: קרית שלום 

דירה של  3  חדרים, כ -  75 מטר סלון עם מטבח פתוח פלסו פינת אוכל.

חדרי שינה עם מזגנים.

מוארת

מקלחות ושורתים בנפרד.

מיקום טוב בשכונה.בניין מסודר ויפה.

כניסה מידית.",0,0,0,1,0,1,0,0,0,1,5500,6,6.27
דירה,קרית שלום,גיתית 8,3,0,75,0,0,12,500,100,3,"רחוב: גיתית

שכונת: קרית שלום 

דירה של  3  חדרים, כ -  75 מטר סלון עם מטבח פתוח פלסו פינת אוכל.

חדרי שינה עם מזגנים.

מוארת

מקלחות ושורתים בנפרד.

מיקום טוב בשכונה.בניין מסודר ויפה.

כניסה מידית.",0,0,0,1,0,1,0,1,0,1,5500,7,6.27
דירה,קרית שלום,שדרות ישראל גורי   58,3.5,2,85,0,0,12,750,200,3,"שכונת: קרית שלום 

דירה של  3.5  חדירם, כ - 85  מטר מסודרת מוארת

יציאה למרפסת 

מטבח נטו

מוארת 

חדרי שינה עם מזגנים

קומה שניה.

3 כוון אויר.

כניסה מידית.",0,0,0,1,0,1,0,0,0,1,7000,7,5.71
דירה,קרית שלום,בורמה 22,2.5,1,70,0,0,12,200,150,3,"שכונה: קרית שלום 

דירה של  2.5  חדרים,כ - 70  מטר מסודרת מוארת מקסימה.

מקרר,מכונת כביסה.

סלון עם פינת אוכל.

חדר שינה עם מזגן.

קומה 2 

רחוב שקט בשכונה

כניסה מידית.",0,0,0,1,0,1,0,0,0,0,3800,2,6.62
דירה,קרית שלום,דיק 10,1,0,20,12,0,12,100,,1,משופץ ברמה גבוהה,0,0,0,1,0,0,0,0,0,1,4000,0,6.31
דירה,קרית שלום,אסירי ציון 21,4,3,118,0,0,12,750,350,8,"רחוב:אסירי ציון 

שכונה: קרית שלום

 במושבה האיטלקית בבנין מסודר בן 13

דירת 4 חד עם מרפסת, 118 מ', מאסטר עם חדר ארונות ומקלחת.

בנוסף לחדר אמבטיה.

מוארת יפה.

פונה לרחבה, 3 כיווני אויר.

חזית לדרום מערב.

חניה פרטית

2 מעליות. לאכלוס מיידי

גם משפחה,גם שותפים

כניסה מידית.",1,0,1,1,0,0,1,1,0,1,7000,8,4.84
דירה,קרית שלום,החיזיון  11,3,0,75,0,0,12,350,100,3,"להשכרה !!  מחיר:  4900  ש""ח 
רחוב:החיזיון 
שכונת: קרית שלום 
3 חדרים,כ - 75  מטר,משופצת מקסימה איוכתית ויפה.
בקומת קרקע משופצת ומרוהטת עם גינה
משופצת ומרוהטת עם גינה.
כניסה מידית. 
""תווך נכסים בתל אביב"".",0,0,0,1,0,1,0,1,0,1,4900,6,6.42
דירה,קרית שלום,הלפיד 9,3,2,100,0,0,12,500,150,2,"קרוב לקאנטרי דירת 5 חדרים , דירה פינתית משופצת מרווחת מוארת ורואה ירוק.

יש 2 חדרי שירותים ומקלחת יש חצר אחורית ומרפסת סגורה מתאים גם לשותפים

אפשרי לטווח ארוך

וגם בעלי חיים.

יש גם מחסן בחצר שנשאר

מרפסת וחצר

גם לשותפים

כניסה מידית.",0,0,0,1,0,1,0,0,0,1,6500,6,5.27
דירה,קרית שלום,הקשת 33,4.5,1,110,25,0,12,500,120,1,"4.5 חדרים,מסודרת מקסימה שקטה איכותית ויפה,כ - 110 מטר. יציאה לגג מרוצף מרוהטת חלקית.

חדרי שינה כם מזגנים

שתי שרותים ומקלוחת

רחוב סופר שקט.

מתאימה גם לשותפים \ משפחה. 

גג פרטי של  25  מטר.גינה של 20  מטר פרטית. 

קרוב קנטרי

כניסה:  1.9.2021",0,0,0,1,0,0,0,1,0,0,6200,4,5.03
גג/פנטהאוז,קרית שלום,שילר 3,3,2,69,0,0,12,450,190,2,"שכונת: קרית שלום

דירה של  3 חדרים, משופצת מקסימה כ - 69 מטר,סלון עם פינת אוכל.

חדר שינה עם מזגן.

מקלחת ושרותים ביחיד.

יציאה למרפסת מרוצפת של 30 מטר,נוף לשכונה.

מיקום שקט של השכונה.

בנין מעולה ומשופץ.

כניסה מידית",0,0,0,1,0,0,0,1,0,1,5000,7,6.31
דירה,יפו ד,חיננית 7,2.5,2,68,0,0,12,250,25,4,"נכס משופץ מהיסוד הבניין נמצא בתמ״א 38
לפנות בוואטסאפ",0,0,0,1,0,0,0,0,1,1,4200,6,11.73
דירה,יפו ד,שדרות ירושליים 217,2.5,2,52,0,0,12,350,,3,"דירה שקטה בת 2.5 חדרים, בקרבת תחנת הרכבת הקלה ""מחרוזת"" (15 דקות למרכז תל אביב , עזריאלי) , 10 דקות הליכה לים , איזור שקט. הדירה מרוהטת חלקית וממוזגת",0,0,0,1,0,0,0,1,1,1,4000,7,11.73
דירה,יפו ד,גלעינית 1,2.5,1,70,0,0,12,0,50,4,"להשכרה ללא תיווך, דירת 2.5 חדרים מקסימה ומוארת. דירה שקטה בקומה ראשונה על עמודים. בדירה מזגנים, מקרר, כיריים וארון גדול. הדירה קרובה ליציאה לאיילון ולרכבת הקלה ולאוטובוסים.",0,0,0,1,0,1,0,0,0,0,4300,7,7.44
דירה,יפו ד,סומקן 1,3,4,60,0,0,12,680,50,4,"דירה יפה. משופצת!!! מרווחת, כיווני אוויר צפון, דרום,
תחבורה ציבורית נוחה. קרובה לרכבת הקלה, מתאימה לסטודנטים, בנות אולפנה, מתמחים.",1,0,0,1,0,1,0,0,0,1,4700,6,11.1
